ID_LAT_LON_YEAR_WEEK,emission
ID_-23.53_27.47_2019_1,2711.6259969400007
ID_-23.53_27.47_2019_2,2614.065464199999
ID_-23.53_27.47_2019_3,2597.423944499999
ID_-23.53_27.47_2019_4,2801.2452946569997
ID_-23.53_27.47_2019_5,5013.31181444
ID_-23.53_27.47_2019_6,3754.6593201399996
ID_-23.53_27.47_2019_7,2657.7352731000005
ID_-23.53_27.47_2019_8,2649.1420481400005
ID_-23.53_27.47_2019_9,2679.8379038
ID_-23.53_27.47_2019_10,2607.633783
ID_-23.53_27.47_2019_11,5304.495339524002
ID_-23.53_27.47_2019_12,7256.769862220006
ID_-23.53_27.47_2019_13,2619.8176980000003
ID_-23.53_27.47_2019_14,2665.6218175400004
ID_-23.53_27.47_2019_15,2667.0403023
ID_-23.53_27.47_2019_16,2625.2085739999998
ID_-23.53_27.47_2019_17,2599.311319
ID_-23.53_27.47_2019_18,5357.08508501
ID_-23.53_27.47_2019_19,6241.403602250002
ID_-23.53_27.47_2019_20,2777.8529604
ID_-23.53_27.47_2019_21,4524.224038698999
ID_-23.53_27.47_2019_22,8488.243529999996
ID_-23.53_27.47_2019_23,7036.64061586
ID_-23.53_27.47_2019_24,8322.572317560001
ID_-23.53_27.47_2019_25,4352.7662069
ID_-23.53_27.47_2019_26,5287.224755950002
ID_-23.53_27.47_2019_27,3831.04602667
ID_-23.53_27.47_2019_28,2830.8293875500003
ID_-23.53_27.47_2019_29,4332.79554379
ID_-23.53_27.47_2019_30,4795.504426460001
ID_-23.53_27.47_2019_31,7046.863018700002
ID_-23.53_27.47_2019_32,8023.356325499999
ID_-23.53_27.47_2019_33,5671.368862777001
ID_-23.53_27.47_2019_34,8534.520379400003
ID_-23.53_27.47_2019_35,8296.496454700002
ID_-23.53_27.47_2019_36,2856.665095339999
ID_-23.53_27.47_2019_37,2665.100600539998
ID_-23.53_27.47_2019_38,2935.8969115399996
ID_-23.53_27.47_2019_39,2754.3668927599997
ID_-23.53_27.47_2019_40,2739.9814673999995
ID_-23.53_27.47_2019_41,2780.012175539999
ID_-23.53_27.47_2019_42,3621.487516540002
ID_-23.53_27.47_2019_43,6142.940876308001
ID_-23.53_27.47_2019_44,15551.565758459996
ID_-23.53_27.47_2019_45,16622.904623160008
ID_-23.53_27.47_2019_46,6490.605032530005
ID_-23.53_27.47_2019_47,13248.254377060004
ID_-23.53_27.47_2019_48,2626.8521287000003
ID_-23.53_27.47_2019_49,2696.3975185599998
ID_-23.53_27.47_2019_50,2596.229797199999
ID_-23.53_27.47_2019_51,2539.8050332000003
ID_-23.53_27.47_2019_52,2611.8283066000004
ID_-23.53_27.47_2020_1,189796.71310667798
ID_-23.53_27.47_2020_2,94819.74794214996
ID_-23.53_27.47_2020_3,136805.32264209993
ID_-23.53_27.47_2020_4,26391.611799509996
